Strategy,C,Gamma,Kernel,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Training_Time_mean,TP_mean,TN_mean,FP_mean,FN_mean
MFCC_DELTA_DELTA,10.0,0.001,linear,0.6198669201520912,0.6236883832338087,0.6204488493962178,0.6212548805353013,0.6548919742370927,6.112534427642823,82.4,81.0,49.8,50.4
MFCC_DELTA_DELTA,10.0,0.001,rbf,0.6335234474017744,0.6286328020096954,0.667053998632946,0.6464131866324431,0.6834861850349998,0.23450627326965331,88.6,78.4,52.4,44.2
MFCC_DELTA_DELTA,10.0,0.01,linear,0.6198669201520912,0.6236883832338087,0.6204488493962178,0.6212548805353013,0.6556216577048236,6.3948822021484375,82.4,81.0,49.8,50.4
MFCC_DELTA_DELTA,10.0,0.01,rbf,0.6153157045742597,0.6152112778681641,0.6385395306447939,0.6257212857854422,0.6752200919476934,0.25807857513427734,84.8,77.4,53.4,48.0
MFCC_DELTA_DELTA,10.0,0.1,linear,0.6198669201520912,0.6236883832338087,0.6204488493962178,0.6212548805353013,0.6521834600380201,5.874295949935913,82.4,81.0,49.8,50.4
MFCC_DELTA_DELTA,10.0,0.1,rbf,0.6145552483004955,0.6314034024783203,0.5632148553201185,0.5949097316021515,0.6624297110416034,0.2919144630432129,74.8,87.2,43.6,58.0
MFCC_DELTA_DELTA,10.0,1.0,linear,0.6198669201520912,0.6236883832338087,0.6204488493962178,0.6212548805353013,0.6541638039207344,5.8772846221923825,82.4,81.0,49.8,50.4
MFCC_DELTA_DELTA,10.0,1.0,rbf,0.5075872796405115,0.5057504680822088,0.9954887218045112,0.6707251147177837,0.4977510516803405,0.2932584285736084,132.2,1.6,129.2,0.6
MFCC_DELTA_DELTA,100.0,0.001,linear,0.619112224910704,0.6227547740736675,0.6204374572795625,0.6205401331558209,0.6550875881852177,64.74711794853211,82.4,80.8,50.0,50.4
MFCC_DELTA_DELTA,100.0,0.001,rbf,0.6304902638552828,0.6318450265895942,0.6430735930735931,0.6367861285423972,0.6731207823915739,0.26899266242980957,85.4,80.8,50.0,47.4
MFCC_DELTA_DELTA,100.0,0.01,linear,0.619112224910704,0.6227547740736675,0.6204374572795625,0.6205401331558209,0.6558800875032293,62.26101355552673,82.4,80.8,50.0,50.4
MFCC_DELTA_DELTA,100.0,0.01,rbf,0.5713129392787188,0.5736730777326764,0.5813169286853498,0.577227242761942,0.6085396664404299,0.4200709342956543,77.2,73.4,57.4,55.6
MFCC_DELTA_DELTA,100.0,0.1,linear,0.619112224910704,0.6227547740736675,0.6204374572795625,0.6205401331558209,0.6565295926786485,57.92193455696106,82.4,80.8,50.0,50.4
MFCC_DELTA_DELTA,100.0,0.1,rbf,0.6138034335752967,0.6306183285980393,0.5632376395534291,0.5944908096701921,0.6598769430649705,0.29597787857055663,74.8,87.0,43.8,58.0
MFCC_DELTA_DELTA,100.0,1.0,linear,0.619112224910704,0.6227547740736675,0.6204374572795625,0.6205401331558209,0.6555126793656323,60.328171491622925,82.4,80.8,50.0,50.4
MFCC_DELTA_DELTA,100.0,1.0,rbf,0.5075872796405115,0.5057504680822088,0.9954887218045112,0.6707251147177837,0.5019914818006421,0.2990168571472168,132.2,1.6,129.2,0.6
